img_url,part_name,part_cat_name,color_name,rgb
https://cdn.rebrickable.com/media/parts/elements/301005.jpg,Brick 1 x 4,Bricks,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/4140327.jpg,Technic Beam 1 x 9 Bent (7 - 3) Thick,Technic Beams,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4141608.jpg,Slope 75° 2 x 2 x 3 Double Convex,Bricks Sloped,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/6093038.jpg,Slope Curved 2 x 2 x 2/3,Bricks Curved,Dark Tan,958A73
https://cdn.rebrickable.com/media/parts/elements/4234716.jpg,Brick 1 x 4,Bricks,Lime,BBE90B
https://cdn.rebrickable.com/media/parts/elements/4211639.jpg,Technic Axle 5,Technic Axles,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/ldraw/4/3062a.png,Brick Round 1 x 1 Solid Stud,Bricks Round and Cones,Red,C91A09
,Braille Brick 2 x 4 with 4 Studs ⠹ and 'ch' print,Bricks Special,Dark Azure,078BC9
https://cdn.rebrickable.com/media/parts/elements/265426.jpg,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],Plates Round Curved and Dishes,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4187136.jpg,Technic Beam 1 x 9 Thick,Technic Beams,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/303101.jpg,Plate 4 x 4,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4114745.jpg,"Hose, Ribbed 7mm D. 14L / 11.2cm",Tubes and Hoses,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/6284236.jpg,Windscreen 4 x 4 x 4 2/3 with Handle,Windscreens and Fuselage,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/362326.jpg,Plate 1 x 3,Plates,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4518687.jpg,Plate 2 x 6,Plates,Dark Brown,352100
https://cdn.rebrickable.com/media/parts/elements/3005741.jpg,Plate Round 1 x 1 with Solid Stud,Plates Round Curved and Dishes,Trans-Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/300926.jpg,Brick 1 x 6,Bricks,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4164073.jpg,Brick Special 1 x 4 with 4 Studs on One Side,Bricks Special,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/6313188.jpg,Tile Special 2 x 2 with Top Pin [Squared Holes],Tiles Special,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/302324.jpg,Plate 1 x 2,Plates,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/4514195.jpg,Equipment Hose Nozzle / Gun with Side String Hole Simplified,Minifig Accessories,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4211436.jpg,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",Bricks Sloped,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/302301.jpg,Plate 1 x 2,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/300924.jpg,Brick 1 x 6,Bricks,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/302401.jpg,Plate 1 x 1,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4210635.jpg,Plate 2 x 2 Corner,Plates,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/6115447.jpg,Brick Curved 1 x 2 x 1 1/3 with Curved Top,Bricks Curved,Dark Blue,0A3463
https://cdn.rebrickable.com/media/parts/ldraw/4/4079.png,Seat / Chair 2 x 2,Transportation - Land,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/4189110.jpg,Technic Axle Pin with Friction Ridges Lengthwise,Technic Pins,Blue,0055BF
